Column1;Column2;Column3;Column4;Column6
Sat 19 Sep;Fiorentina;1 - 0;Torino;(0-0)
Sun 20 Sep;Parma;0 - 2;Napoli;(0-0)
Sun 20 Sep;Genoa;4 - 1;Crotone;(3-1)
Sun 20 Sep;Sassuolo;1 - 1;Cagliari;(0-0)
Sun 20 Sep;Juventus;3 - 0;Sampdoria;(1-0)
Mon 21 Sep;AC Milan;2 - 0;Bologna;(1-0)
Sat 26 Sep;Torino;2 - 4;Atalanta;(2-3)
Sat 26 Sep;Cagliari;0 - 2;Lazio;(0-1)
Sat 26 Sep;Sampdoria;2 - 3;Benevento;(2-1)
Sat 26 Sep;Inter Milan;4 - 3;Fiorentina;(1-1)
Sun 27 Sep;Spezia;1 - 4;Sassuolo;(1-1)
Sun 27 Sep;Hellas Verona;1 - 0;Udinese;(0-0)
Sun 27 Sep;Crotone;0 - 2;AC Milan;(0-1)
Sun 27 Sep;Napoli;6 - 0;Genoa;(1-0)
Sun 27 Sep;AS Roma;2 - 2;Juventus;(2-1)
Mon 28 Sep;Bologna;4 - 1;Parma;(2-0)
Wed 30 Sep;Benevento;2 - 5;Inter Milan;(1-4)
Wed 30 Sep;Udinese;0 - 2;Spezia;(0-1)
Wed 30 Sep;Lazio;1 - 4;Atalanta;(0-3)
Fri 2 Oct;Fiorentina;1 - 2;Sampdoria;(0-1)
Sat 3 Oct;Sassuolo;4 - 1;Crotone;(1-0)
Sat 3 Oct;Udinese;0 - 1;AS Roma;(0-0)
Sun 4 Oct;Atalanta;5 - 2;Cagliari;(4-1)
Sun 4 Oct;Benevento;1 - 0;Bologna;(0-0)
Sun 4 Oct;Lazio;1 - 1;Inter Milan;(0-1)
Sun 4 Oct;Parma;1 - 0;Hellas Verona;(1-0)
Sun 4 Oct;AC Milan;3 - 0;Spezia;(0-0)
Sat 17 Oct;Napoli;4 - 1;Atalanta;(4-0)
Sat 17 Oct;Inter Milan;1 - 2;AC Milan;(1-2)
Sat 17 Oct;Sampdoria;3 - 0;Lazio;(2-0)
Sat 17 Oct;Crotone;1 - 1;Juventus;(1-1)
Sun 18 Oct;Bologna;3 - 4;Sassuolo;(2-1)
Sun 18 Oct;Spezia;2 - 2;Fiorentina;(1-2)
Sun 18 Oct;Torino;2 - 3;Cagliari;(1-2)
Sun 18 Oct;Udinese;3 - 2;Parma;(1-1)
Sun 18 Oct;AS Roma;5 - 2;Benevento;(2-1)
Mon 19 Oct;Hellas Verona;0 - 0;Genoa;(0-0)
Fri 23 Oct;Sassuolo;3 - 3;Torino;(0-1)
Sat 24 Oct;Atalanta;1 - 3;Sampdoria;(0-1)
Sat 24 Oct;Genoa;0 - 2;Inter Milan;(0-0)
Sat 24 Oct;Lazio;2 - 1;Bologna;(0-0)
Sun 25 Oct;Cagliari;4 - 2;Crotone;(3-2)
Sun 25 Oct;Benevento;1 - 2;Napoli;(1-0)
Sun 25 Oct;Parma;2 - 2;Spezia;(1-2)
Sun 25 Oct;Fiorentina;3 - 2;Udinese;(2-1)
Sun 25 Oct;Juventus;1 - 1;Hellas Verona;(0-0)
Mon 26 Oct;AC Milan;3 - 3;AS Roma;(1-1)
Sat 31 Oct;Crotone;1 - 2;Atalanta;(1-2)
Sat 31 Oct;Inter Milan;2 - 2;Parma;(0-0)
Sat 31 Oct;Bologna;3 - 2;Cagliari;(1-1)
Sun 1 Nov;Udinese;1 - 2;AC Milan;(0-1)
Sun 1 Nov;Spezia;1 - 4;Juventus;(1-1)
Sun 1 Nov;Torino;3 - 4;Lazio;(2-1)
Sun 1 Nov;AS Roma;2 - 0;Fiorentina;(1-0)
Sun 1 Nov;Napoli;0 - 2;Sassuolo;(0-0)
Sun 1 Nov;Sampdoria;1 - 1;Genoa;(1-1)
Mon 2 Nov;Hellas Verona;3 - 1;Benevento;(1-0)
Wed 4 Nov;Genoa;1 - 2;Torino;(0-2)
Fri 6 Nov;Sassuolo;0 - 0;Udinese;(0-0)
Sat 7 Nov;Cagliari;2 - 0;Sampdoria;(0-0)
Sat 7 Nov;Benevento;0 - 3;Spezia;(0-1)
Sat 7 Nov;Parma;0 - 0;Fiorentina;(0-0)
Sun 8 Nov;Lazio;1 - 1;Juventus;(0-1)
Sun 8 Nov;Atalanta;1 - 1;Inter Milan;(0-0)
Sun 8 Nov;Genoa;1 - 3;AS Roma;(0-1)
Sun 8 Nov;Torino;0 - 0;Crotone;(0-0)
Sun 8 Nov;Bologna;0 - 1;Napoli;(0-1)
Sun 8 Nov;AC Milan;2 - 2;Hellas Verona;(1-2)
Sat 21 Nov;Crotone;0 - 2;Lazio;(0-1)
Sat 21 Nov;Spezia;0 - 0;Atalanta;(0-0)
Sat 21 Nov;Juventus;2 - 0;Cagliari;(2-0)
Sun 22 Nov;Fiorentina;0 - 1;Benevento;(0-0)
Sun 22 Nov;AS Roma;3 - 0;Parma;(3-0)
Sun 22 Nov;Hellas Verona;0 - 2;Sassuolo;(0-1)
Sun 22 Nov;Inter Milan;4 - 2;Torino;(0-1)
Sun 22 Nov;Sampdoria;1 - 2;Bologna;(1-1)
Sun 22 Nov;Udinese;1 - 0;Genoa;(1-0)
Sun 22 Nov;Napoli;1 - 3;AC Milan;(0-1)
Sat 28 Nov;Sassuolo;0 - 3;Inter Milan;(0-2)
Sat 28 Nov;Benevento;1 - 1;Juventus;(1-1)
Sat 28 Nov;Atalanta;0 - 2;Hellas Verona;(0-0)
Sun 29 Nov;Lazio;1 - 3;Udinese;(0-2)
Sun 29 Nov;AC Milan;2 - 0;Fiorentina;(2-0)
Sun 29 Nov;Bologna;1 - 0;Crotone;(1-0)
Sun 29 Nov;Cagliari;2 - 2;Spezia;(0-1)
Sun 29 Nov;Napoli;4 - 0;AS Roma;(1-0)
Mon 30 Nov;Torino;2 - 2;Sampdoria;(1-0)
Mon 30 Nov;Genoa;1 - 2;Parma;(0-1)
Sat 5 Dec;Spezia;1 - 2;Lazio;(0-2)
Sat 5 Dec;Juventus;2 - 1;Torino;(0-1)
Sat 5 Dec;Inter Milan;3 - 1;Bologna;(2-0)
Sun 6 Dec;Hellas Verona;1 - 1;Cagliari;(1-0)
Sun 6 Dec;AS Roma;0 - 0;Sassuolo;(0-0)
Sun 6 Dec;Parma;0 - 0;Benevento;(0-0)
Sun 6 Dec;Crotone;0 - 4;Napoli;(0-1)
Sun 6 Dec;Sampdoria;1 - 2;AC Milan;(0-1)
Mon 7 Dec;Fiorentina;1 - 1;Genoa;(0-0)
Fri 11 Dec;Sassuolo;1 - 0;Benevento;(1-0)
Sat 12 Dec;Crotone;4 - 1;Spezia;(1-1)
Sat 12 Dec;Torino;2 - 3;Udinese;(0-1)
Sat 12 Dec;Lazio;1 - 2;Hellas Verona;(0-1)
Sun 13 Dec;Cagliari;1 - 3;Inter Milan;(1-0)
Sun 13 Dec;Atalanta;3 - 0;Fiorentina;(1-0)
Sun 13 Dec;Bologna;1 - 5;AS Roma;(1-5)
Sun 13 Dec;Napoli;2 - 1;Sampdoria;(0-1)
Sun 13 Dec;Genoa;1 - 3;Juventus;(0-0)
Sun 13 Dec;AC Milan;2 - 2;Parma;(0-1)
Tue 15 Dec;Udinese;0 - 0;Crotone;(0-0)
Tue 15 Dec;Benevento;1 - 1;Lazio;(1-1)
Wed 16 Dec;Juventus;1 - 1;Atalanta;(1-0)
Wed 16 Dec;Fiorentina;1 - 1;Sassuolo;(1-1)
Wed 16 Dec;Genoa;2 - 2;AC Milan;(0-0)
Wed 16 Dec;Hellas Verona;1 - 2;Sampdoria;(0-1)
Wed 16 Dec;Inter Milan;1 - 0;Napoli;(0-0)
Wed 16 Dec;Parma;0 - 0;Cagliari;(0-0)
Wed 16 Dec;Spezia;2 - 2;Bologna;(1-0)
Thu 17 Dec;AS Roma;3 - 1;Torino;(2-0)
